19,39, Serangoon MRT Station,  Kovan MRT Station, Kembangan MRT Station
19,41, Kovan MRT Station,  Eunos MRT Station, Kembangan MRT Station
21,40, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Kovan MRT Station
21,37, Ang Mo Kio MRT Station,  Serangoon MRT Station, Kovan MRT Station
22,40, Bishan MRT Station,  Kovan MRT Station, Kembangan MRT Station
22,46, Ang Mo Kio MRT Station,  Kovan MRT Station, Kembangan MRT Station
22,36, Ang Mo Kio MRT Station,  Marymount MRT Station, Kembangan MRT Station
22,38,Bishan MRT Station,  Ang Mo Kio MRT Station,  Kovan MRT Station
22,39, Ang Mo Kio MRT Station, Kovan MRT Station,  Eunos MRT Station
22,39, Marymount MRT Station,  Ang Mo Kio MRT Station, Kovan MRT Station
22,47, Serangoon MRT Station,  Kovan MRT Station,  Eunos MRT Station, Kembangan MRT Station
23,40, Toa Payoh MRT Station,  Kovan MRT Station, Kembangan MRT Station
23,42, Yio Chu Kang MRT Station,  Kovan MRT Station, Kembangan MRT Station
23,41, Dakota MRT Station,  Kovan MRT Station, Kembangan MRT Station
23,41, Marymount MRT Station,  Kovan MRT Station, Kembangan MRT Station
23,35, Ang Mo Kio MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
23,37, Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station, Kembangan MRT Station
23,35, Yio Chu Kang MRT Station, Kovan MRT Station,  Eunos MRT Station
23,37, Marymount MRT Station,  Bishan MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
23,38, Somerset MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
23,39, Marymount MRT Station, Bishan MRT Station,  Serangoon MRT Station,  Kovan MRT Station
23,36, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
23,35, Ang Mo Kio MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
23,37, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station
23,46, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station, Kovan MRT Station
24,36, Ang Mo Kio MRT Station,  Eunos MRT Station, Kembangan MRT Station
24,35, Yio Chu Kang MRT Station,  Marymount MRT Station, Kovan MRT Station
24,46, Bishan MRT Station,  Serangoon MRT Station,  Kovan MRT Station, Kembangan MRT Station
24,48, Marymount MRT Station,  Bishan MRT Station,  Kovan MRT Station, Kembangan MRT Station
24,42, Ang Mo Kio MRT Station,  Bishan MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
24,43, Ang Mo Kio MRT Station,  Bishan MRT Station,  Marymount MRT Station, Kembangan MRT Station
24,36, Marymount MRT Station,  Bishan MRT Station,  Serangoon MRT Station, Kembangan MRT Station
24,46, Toa Payoh MRT Station,  Serangoon MRT Station,  Kovan MRT Station, Kembangan MRT Station
24,49, Kovan MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
24,38, Toa Payoh MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
24,43, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station, Kembangan MRT Station
24,45, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Kembangan MRT Station
24,37, Serangoon MRT Station,  Dakota MRT Station,  Eunos MRT Station, Kembangan MRT Station
24,47, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Kovan MRT Station
24,44,Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station,  Kovan MRT Station
24,46,Bishan MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Kovan MRT Station
24,39,Bishan MRT Station,  Serangoon MRT Station,  Kovan MRT Station,  Eunos MRT Station
24,41, Marymount MRT Station, Bishan MRT Station,  Kovan MRT Station,  Eunos MRT Station
24,35, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Serangoon MRT Station
24,39, Toa Payoh MRT Station,  Serangoon MRT Station, Kovan MRT Station,  Eunos MRT Station
24,48, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Kovan MRT Station,  Eunos MRT Station
24,45, Ang Mo Kio MRT Station,  Serangoon MRT Station, Kovan MRT Station,  Eunos MRT Station
24,45, Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station, Kovan MRT Station
24,40,Kovan MRT Station,  Serangoon MRT Station,  Dakota MRT Station,  Eunos MRT Station
24,37, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Toa Payoh MRT Station
25,40, Somerset MRT Station,  Kovan MRT Station, Kembangan MRT Station
25,38, Toa Payoh MRT Station,  Ang Mo Kio MRT Station, Kovan MRT Station
25,39, Ang Mo Kio MRT Station, Kovan MRT Station,  Dakota MRT Station
25,48, Bishan MRT Station,  Kovan MRT Station,  Eunos MRT Station, Kembangan MRT Station
25,38, Yio Chu Kang MRT Station,  Bishan MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
25,37, Bishan MRT Station,  Toa Payoh MRT Station,  Eunos MRT Station, Kembangan MRT Station
25,41, Bishan MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station, Kembangan MRT Station
25,39, Yio Chu Kang MRT Station,  Bishan MRT Station,  Marymount MRT Station, Kembangan MRT Station
25,38, Bishan MRT Station,  Marymount MRT Station,  Eunos MRT Station, Kembangan MRT Station
25,47, Marymount MRT Station,  Serangoon MRT Station,  Kovan MRT Station, Kembangan MRT Station
25,44, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
25,43, Ang Mo Kio MRT Station,  Marymount MRT Station,  Toa Payoh MRT Station, Kembangan MRT Station
25,42, Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station, Kembangan MRT Station
25,38,Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station,  Kovan MRT Station
25,46,Bishan MRT Station,  Ang Mo Kio MRT Station,  Kovan MRT Station,  Eunos MRT Station
