'Clementi MRT Station', 'Bishan MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station'
'Clementi MRT Station', 'Bishan MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Marymount MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Ang Mo Kio MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Pioneer MRT Station', 'Ang Mo Kio MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Toa Payoh MRT Station', 'Ang Mo Kio MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Beauty World MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Serangoon MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Yew Tee MRT Station'
'Clementi MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Marymount MRT Station'
'Clementi MRT Station', 'Choa Chu Kang MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station'
'Clementi MRT Station', 'Toa Payoh MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station'
'Clementi MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station', 'Beauty World MRT Station'
'Clementi MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station', 'Yew Tee MRT Station'
'Clementi MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station', 'Marymount MRT Station'
'Bishan MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station'
'Bishan MRT Station', 'Woodlands MRT Station', 'Choa Chu Kang MRT Station', 'Ang Mo Kio MRT Station'
'Bishan MRT Station', 'Woodlands MRT Station', 'Toa Payoh MRT Station', 'Ang Mo Kio MRT Station'
'Bishan MRT Station', 'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station'
'Bishan MRT Station', 'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Beauty World MRT Station'
'Bishan MRT Station', 'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Somerset MRT Station'
'Bishan MRT Station', 'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Yew Tee MRT Station'
'Bishan MRT Station', 'Woodlands MRT Station', 'Ang Mo Kio MRT Station', 'Marymount MRT Station'
'Bishan MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Ang Mo Kio MRT Station'
'Bishan MRT Station', 'Bukit Panjang MRT Station', 'Pioneer MRT Station', 'Ang Mo Kio MRT Station'
'Bishan MRT Station', 'Bukit Panjang MRT Station', 'Toa Payoh MRT Station', 'Ang Mo Kio MRT Station'
'Bishan MRT Station', 'Bukit Panjang MRT Station', 'Chinese Garden MRT Station', 'Ang Mo Kio MRT Station'
'Bishan MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Yio Chu Kang MRT Station'
'Bishan MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Beauty World MRT Station'
'Bishan MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Serangoon MRT Station'
'Bishan MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Somerset MRT Station'
'Bishan MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Jurong East MRT Station'
'Bishan MRT Station', 'Bukit Panjang MRT Station', 'Ang Mo Kio MRT Station', 'Yew Tee MRT Station'
