Score,Route Travel Time,Number of pax served,Route,,,,
1.463333333,25,44, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.426666667,26,43, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Bishan MRT Station,  Serangoon MRT Station
1.376666667,29,43, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Toa Payoh MRT Station,  Serangoon MRT Station
1.373333333,28,42, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,  Serangoon MRT Station
1.356666667,23,37, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station,
1.353333333,28,41, Toa Payoh MRT Station, Bishan MRT Station,  Marymount MRT Station,  Ang Mo Kio MRT Station,  Serangoon MRT Station
1.35,33,45, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Marymount MRT Station
1.346666667,32,44, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Bishan MRT Station,  Somerset MRT Station
1.34,24,37, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Toa Payoh MRT Station,
1.336666667,23,36, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,
1.333333333,34,45,Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station,  Toa Payoh MRT Station
1.33,33,44, Woodlands MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.33,33,44, Somerset MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station,  Marymount MRT Station, Toa Payoh MRT Station
1.326666667,32,43, Somerset MRT Station,  Ang Mo Kio MRT Station,  Yio Chu Kang MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.323333333,31,42, Somerset MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station
1.323333333,37,47, Bukit Panjang MRT Station,  Marymount MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.316666667,23,35, Ang Mo Kio MRT Station,  Marymount MRT Station, Bishan MRT Station,  Toa Payoh MRT Station,
1.313333333,34,44, Beauty World MRT Station,  Marymount MRT Station, Bishan MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station
1.306666667,38,47,Bukit Panjang MRT Station,  Marymount MRT Station,  Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station,  Toa Payoh MRT Station
