"'Clementi MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Woodlands MRT Station'",50
"'Clementi MRT Station'", " 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Woodlands MRT Station'",48
"'Clementi MRT Station'", " 'Pioneer MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", " 'Woodlands MRT Station'",53
"'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Woodlands MRT Station'",47
"'Clementi MRT Station'", " 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Woodlands MRT Station'", " 'Serangoon MRT Station'",54
" 'Woodlands MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Bukit Panjang MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",53
"'Clementi MRT Station'", " 'Jurong East MRT Station'", " 'Bukit Panjang MRT Station'", " 'Choa Chu Kang MRT Station'", " 'Woodlands MRT Station'",48
"'Clementi MRT Station'", " 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Woodlands MRT Station'",51
"'Clementi MRT Station'", " 'Pioneer MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Woodlands MRT Station'",55
"'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Woodlands MRT Station'",50
"'Clementi MRT Station'", " 'Yew Tee MRT Station'", " 'Bukit Panjang MRT Station'", " 'Woodlands MRT Station'", " 'Serangoon MRT Station'",56
" 'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",55
"'Clementi MRT Station'", " 'Jurong East MRT Station'", " 'Bukit Panjang MRT Station'", " 'Yew Tee MRT Station'", " 'Woodlands MRT Station'",51
" 'Pioneer MRT Station'", "'Clementi MRT Station'", " 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", " 'Woodlands MRT Station'",53
" 'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", "'Clementi MRT Station'", " 'Beauty World MRT Station'",48
"'Clementi MRT Station'", " 'Chinese Garden MRT Station'", " 'Bukit Panjang MRT Station'", " 'Woodlands MRT Station'", " 'Serangoon MRT Station'",51
" 'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Chinese Garden MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",50
" 'Pioneer MRT Station'", "'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Bukit Panjang MRT Station'", " 'Woodlands MRT Station'",52
"'Clementi MRT Station'", " 'Pioneer MRT Station'", " 'Bukit Panjang MRT Station'", " 'Woodlands MRT Station'", " 'Serangoon MRT Station'",58
" 'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Pioneer MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",57
" 'Pioneer MRT Station'", "'Clementi MRT Station'", " 'Jurong East MRT Station'", " 'Bukit Panjang MRT Station'", " 'Woodlands MRT Station'",53
"'Clementi MRT Station'", " 'Beauty World MRT Station'", " 'Bukit Panjang MRT Station'", " 'Woodlands MRT Station'", " 'Serangoon MRT Station'",50
" 'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Beauty World MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'",49
" 'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", " 'Jurong East MRT Station'", "'Clementi MRT Station'", " 'Beauty World MRT Station'",48
" 'Woodlands MRT Station'", " 'Bukit Panjang MRT Station'", "'Clementi MRT Station'", " 'Somerset MRT Station'", " 'Serangoon MRT Station'",53
"'Clementi MRT Station'", " 'Jurong East MRT Station'", " 'Bukit Panjang MRT Station'", " 'Woodlands MRT Station'", " 'Serangoon MRT Station'",51
