'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Yew Tee MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Chinese Garden MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Pioneer MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Beauty World MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Serangoon MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Choa Chu Kang MRT Station', 'Jurong East MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Yew Tee MRT Station', 'Chinese Garden MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Yew Tee MRT Station', 'Pioneer MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Yew Tee MRT Station', 'Beauty World MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Yew Tee MRT Station', 'Serangoon MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Yew Tee MRT Station', 'Somerset MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Yew Tee MRT Station', 'Jurong East MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Chinese Garden MRT Station', 'Pioneer MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Chinese Garden MRT Station', 'Beauty World MRT Station'
'Clementi MRT Station', 'Woodlands MRT Station', 'Bukit Panjang MRT Station', 'Chinese Garden MRT Station', 'Serangoon MRT Station'
