18,35, Ang Mo Kio MRT Station, Woodlands MRT Station,  Sengkang MRT Station
20,42,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
20,35, Marymount MRT Station, Jurong East MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
20,38, Dakota MRT Station,  Marymount MRT Station, Woodlands MRT Station,  Sengkang MRT Station
21,36,Yew Tee MRT Station,  Bishan MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
21,36, Sengkang MRT Station,  Woodlands MRT Station, Pioneer MRT Station,  Eunos MRT Station
21,35, Bishan MRT Station, Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
21,36, Marymount MRT Station, Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
21,36, Dakota MRT Station,  Marymount MRT Station, Pioneer MRT Station,  Sengkang MRT Station
21,37,Somerset MRT Station,  Marymount MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
21,37,Somerset MRT Station,  Marymount MRT Station,  Dakota MRT Station,  Sengkang MRT Station
21,35, Dakota MRT Station, Jurong East MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
21,35,Jurong East MRT Station,  Marymount MRT Station,  Dakota MRT Station,  Sengkang MRT Station
21,47, Kovan MRT Station,  Toa Payoh MRT Station, Woodlands MRT Station,  Sengkang MRT Station
21,43, Dakota MRT Station,  Marymount MRT Station, Jurong East MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
22,41, Bishan MRT Station, Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station
22,35, Somerset MRT Station, Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
22,35, Somerset MRT Station,  Marymount MRT Station, Pioneer MRT Station,  Sengkang MRT Station
22,36, Dakota MRT Station, Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
22,41, Ang Mo Kio MRT Station, Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
22,35, Toa Payoh MRT Station,  Woodlands MRT Station, Pioneer MRT Station,  Sengkang MRT Station
22,41, Marymount MRT Station,  Jurong East MRT Station, Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
22,35, Woodlands MRT Station, Pioneer MRT Station,  Jurong East MRT Station,  Marymount MRT Station,  Dakota MRT Station
22,41, Dakota MRT Station,  Marymount MRT Station,  Jurong East MRT Station, Pioneer MRT Station,  Sengkang MRT Station
22,44, Dakota MRT Station,  Marymount MRT Station, Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
22,42,Somerset MRT Station,  Marymount MRT Station,  Jurong East MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
22,36,Somerset MRT Station,  Jurong East MRT Station,  Dakota MRT Station,  Marymount MRT Station,  Eunos MRT Station
23,37, Sengkang MRT Station, Woodlands MRT Station,  Kembangan MRT Station
23,35, Ang Mo Kio MRT Station, Sengkang MRT Station,  Eunos MRT Station
23,36, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Sengkang MRT Station
23,35,Beauty World MRT Station,  Punggol MRT Station,  Kembangan MRT Station
23,40,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Pioneer MRT Station,  Sengkang MRT Station
23,37,Somerset MRT Station,  Dakota MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
23,38, Sengkang MRT Station, Woodlands MRT Station,  Marymount MRT Station,  Eunos MRT Station
23,38,Sengkang MRT Station,  Dakota MRT Station,  Marymount MRT Station,  Eunos MRT Station
23,49, Ang Mo Kio MRT Station, Yew Tee MRT Station,  Bishan MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
23,40, Somerset MRT Station,  Jurong East MRT Station, Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
23,40, Somerset MRT Station,  Marymount MRT Station,  Jurong East MRT Station, Pioneer MRT Station,  Sengkang MRT Station
23,43, Somerset MRT Station,  Marymount MRT Station, Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
23,41, Dakota MRT Station,  Jurong East MRT Station, Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
23,35,Pioneer MRT Station,  Jurong East MRT Station,  Dakota MRT Station,  Marymount MRT Station,  Eunos MRT Station
23,36, Woodlands MRT Station,  Jurong East MRT Station, Somerset MRT Station,  Marymount MRT Station,  Dakota MRT Station
23,45,Somerset MRT Station,  Dakota MRT Station,  Marymount MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
24,35,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Kembangan MRT Station
24,35, Dakota MRT Station,  Ang Mo Kio MRT Station, Sengkang MRT Station
24,36, Ang Mo Kio MRT Station, Sengkang MRT Station,  Buangkok MRT Station
24,35,Yew Tee MRT Station,  Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
24,36,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Woodlands MRT Station,  Eunos MRT Station
24,43, Buangkok MRT Station, Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station
24,36,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Marymount MRT Station,  Dakota MRT Station
24,35, Somerset MRT Station,  Dakota MRT Station, Pioneer MRT Station,  Sengkang MRT Station
24,37,Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station,  Buangkok MRT Station
24,35, Ang Mo Kio MRT Station,  Woodlands MRT Station, Pioneer MRT Station,  Eunos MRT Station
24,39,Pioneer MRT Station,  Woodlands MRT Station,  Toa Payoh MRT Station,  Kovan MRT Station
24,36, Sengkang MRT Station, Pioneer MRT Station,  Marymount MRT Station,  Eunos MRT Station
24,35, Ang Mo Kio MRT Station, Pioneer MRT Station,  Marymount MRT Station,  Dakota MRT Station
24,38,Somerset MRT Station,  Marymount MRT Station,  Dakota MRT Station,  Kembangan MRT Station
24,35, Sengkang MRT Station,  Woodlands MRT Station, Jurong East MRT Station,  Eunos MRT Station
24,35, Sengkang MRT Station, Jurong East MRT Station,  Marymount MRT Station,  Eunos MRT Station
24,36,Jurong East MRT Station,  Marymount MRT Station,  Dakota MRT Station,  Kembangan MRT Station
24,37, Bishan MRT Station, Woodlands MRT Station,  Sengkang MRT Station,  Eunos MRT Station
24,43, Ang Mo Kio MRT Station,  Sengkang MRT Station, Woodlands MRT Station,  Eunos MRT Station
24,37, Toa Payoh MRT Station, Woodlands MRT Station,  Sengkang MRT Station,  Eunos MRT Station
24,42, Ang Mo Kio MRT Station,  Bishan MRT Station, Woodlands MRT Station,  Sengkang MRT Station
24,36, Toa Payoh MRT Station, Woodlands MRT Station,  Bishan MRT Station,  Sengkang MRT Station
24,37, Ang Mo Kio MRT Station, Woodlands MRT Station,  Marymount MRT Station,  Dakota MRT Station
24,37, Ang Mo Kio MRT Station,  Dakota MRT Station,  Marymount MRT Station, Eunos MRT Station
24,48,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
24,37, Woodlands MRT Station, Pioneer MRT Station,  Somerset MRT Station,  Marymount MRT Station,  Dakota MRT Station
24,43, Somerset MRT Station,  Dakota MRT Station,  Marymount MRT Station, Pioneer MRT Station,  Sengkang MRT Station
24,35, Woodlands MRT Station, Pioneer MRT Station,  Jurong East MRT Station,  Marymount MRT Station,  Eunos MRT Station
24,42,Somerset MRT Station,  Dakota MRT Station,  Jurong East MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
24,42,Somerset MRT Station,  Jurong East MRT Station,  Marymount MRT Station,  Dakota MRT Station,  Sengkang MRT Station
24,43, Sengkang MRT Station,  Woodlands MRT Station, Jurong East MRT Station,  Marymount MRT Station,  Eunos MRT Station
24,37, Woodlands MRT Station, Jurong East MRT Station,  Dakota MRT Station,  Marymount MRT Station,  Eunos MRT Station
24,36, Bishan MRT Station,  Woodlands MRT Station, Jurong East MRT Station,  Marymount MRT Station,  Dakota MRT Station
24,36, Toa Payoh MRT Station,  Woodlands MRT Station, Jurong East MRT Station,  Marymount MRT Station,  Dakota MRT Station
25,35, Sengkang MRT Station, Pioneer MRT Station,  Kembangan MRT Station
25,35, Sengkang MRT Station, Woodlands MRT Station,  Punggol MRT Station
25,35, Marymount MRT Station,  Ang Mo Kio MRT Station, Sengkang MRT Station
25,37, Woodlands MRT Station,  Ang Mo Kio MRT Station, Yew Tee MRT Station,  Buangkok MRT Station
25,35,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Woodlands MRT Station,  Toa Payoh MRT Station
25,42,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Sengkang MRT Station,  Eunos MRT Station
25,35, Bishan MRT Station,  Sengkang MRT Station, Pioneer MRT Station,  Eunos MRT Station
25,41, Ang Mo Kio MRT Station,  Sengkang MRT Station, Pioneer MRT Station,  Eunos MRT Station
25,35,Somerset MRT Station,  Marymount MRT Station,  Jurong East MRT Station,  Kembangan MRT Station
25,37, Sengkang MRT Station, Somerset MRT Station,  Marymount MRT Station,  Eunos MRT Station
25,36, Ang Mo Kio MRT Station, Somerset MRT Station,  Marymount MRT Station,  Dakota MRT Station
25,37, Dakota MRT Station,  Bishan MRT Station, Woodlands MRT Station,  Sengkang MRT Station
25,37, Toa Payoh MRT Station, Woodlands MRT Station,  Sengkang MRT Station,  Dakota MRT Station
25,38, Bishan MRT Station, Woodlands MRT Station,  Sengkang MRT Station,  Buangkok MRT Station
25,44, Yio Chu Kang MRT Station,  Ang Mo Kio MRT Station, Woodlands MRT Station,  Sengkang MRT Station
25,42, Ang Mo Kio MRT Station,  Sengkang MRT Station, Woodlands MRT Station,  Toa Payoh MRT Station
25,38, Toa Payoh MRT Station, Woodlands MRT Station,  Sengkang MRT Station,  Buangkok MRT Station
25,41, Kovan MRT Station,  Toa Payoh MRT Station, Woodlands MRT Station,  Eunos MRT Station
25,40, Bishan MRT Station, Woodlands MRT Station,  Toa Payoh MRT Station,  Kovan MRT Station
25,37, Marymount MRT Station,  Dakota MRT Station,  Bishan MRT Station, Sengkang MRT Station
25,43, Marymount MRT Station,  Dakota MRT Station,  Ang Mo Kio MRT Station, Sengkang MRT Station
25,37, Marymount MRT Station, Dakota MRT Station,  Clementi MRT Station,  Kembangan MRT Station
25,42,Yew Tee MRT Station,  Bishan MRT Station,  Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
25,41,Yew Tee MRT Station,  Ang Mo Kio MRT Station,  Jurong East MRT Station,  Marymount MRT Station,  Dakota MRT Station
25,40, Somerset MRT Station,  Dakota MRT Station,  Jurong East MRT Station, Pioneer MRT Station,  Sengkang MRT Station
25,43, Somerset MRT Station,  Dakota MRT Station, Pioneer MRT Station,  Woodlands MRT Station,  Sengkang MRT Station
25,37,Pioneer MRT Station,  Somerset MRT Station,  Dakota MRT Station,  Marymount MRT Station,  Eunos MRT Station
25,41, Sengkang MRT Station, Pioneer MRT Station,  Jurong East MRT Station,  Marymount MRT Station,  Eunos MRT Station
25,40, Ang Mo Kio MRT Station, Pioneer MRT Station,  Jurong East MRT Station,  Marymount MRT Station,  Dakota MRT Station
