Admiralty MRT Station,Aljunied MRT Station,Ang Mo Kio MRT Station,Bartley MRT Station,Bayfront MRT Station,Beauty World MRT Station,Bedok MRT Station,Bishan MRT Station,Boon Keng MRT Station,Boon Lay MRT Station,Botanic Gardens MRT Station,Braddell MRT Station,Bras Basah MRT Station,Buangkok MRT Station,Bugis MRT Station,Bukit Batok MRT Station,Bukit Gombak MRT Station,Bukit Panjang MRT Station,Buona Vista MRT Station,Caldecott MRT Station,Cashew MRT Station,Changi Airport MRT Station,Chinatown MRT Station,Chinese Garden MRT Station,Choa Chu Kang MRT Station,City Hall MRT Station,Clarke Quay MRT Station,Clementi MRT Station,Commonwealth MRT Station,Dakota MRT Station,Dhoby Ghaut MRT Station,Dover MRT Station,Downtown MRT Station,Esplanade MRT Station,Eunos MRT Station,Expo MRT Station,Farrer Park MRT Station,Farrer Road MRT Station,HarbourFront MRT Station,Haw Par Villa MRT Station,Hillview MRT Station,Holland Village MRT Station,Hougang MRT Station,Joo Koon MRT Station,Jurong East MRT Station,Kallang MRT Station,Kembangan MRT Station,Kent Ridge MRT Station,Khatib MRT Station,King Albert Park MRT Station,Kovan MRT Station,Kranji MRT Station,Labrador Park MRT Station,Lakeside MRT Station,Lavender MRT Station,Little India MRT Station,Lorong Chuan MRT Station,MacPherson MRT Station,Marina Bay MRT Station,Marina South Pier MRT Station,Marsiling MRT Station,Marymount MRT Station,Mountbatten MRT Station,Newton MRT Station,Nicoll Highway MRT Station,Novena MRT Station,one-north MRT Station,Orchard MRT Station,Outram Park MRT Station,Pasir Panjang MRT Station,Pasir Ris MRT Station,Paya Lebar MRT Station,Pioneer MRT Station,Potong Pasir MRT Station,Promenade MRT Station,Punggol MRT Station,Queenstown MRT Station,Raffles Place MRT Station,Redhill MRT Station,Rochor MRT Station,Sembawang MRT Station,Sengkang MRT Station,Serangoon MRT Station,Simei MRT Station,Sixth Avenue MRT Station,Somerset MRT Station,Stadium MRT Station,Stevens MRT Station,Tai Seng MRT Station,Tampines MRT Station,Tan Kah Kee MRT Station,Tanah Merah MRT Station,Tanjong Pagar MRT Station,Telok Ayer MRT Station,Telok Blangah MRT Station,Tiong Bahru MRT Station,Toa Payoh MRT Station,Woodlands MRT Station,Woodleigh MRT Station,Yew Tee MRT Station,Yio Chu Kang MRT Station,Yishun MRT Station
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,5 min,24 min,16 min,14 min,3 min,21 min,10 min,10 min,13 min,25 min,7 min,23 min,12 min,24 min,27 min,21 min,21 min,43 min,29 min,7 min,Error,15 min,23 min,31 min,22 min,18 min,48 min,29 min,34 min,Error,5 min,5 min,22 min,14 min,6 min,7 min,45 min,20 min,13 min,10 min,11 min,11 min,21 min,8 min,8 min,27 min,32 min,11 min,39 min,11 min,4 min,30 min,14 min,2 min,12 min,9 min,37 min,25 min,20 min,26 min,19 min,6 min,13 min,12 min,16 min,28 min,17 min,22 min,6 min,8 min,31 min,10 min,14 min,43 min,14 min,55 min,23 min,32 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,21 min,13 min,17 min,4 min,18 min,11 min,9 min,20 min,32 min,9 min,18 min,9 min,17 min,26 min,25 min,22 min,40 min,26 min,12 min,Error,22 min,20 min,35 min,21 min,20 min,45 min,12 min,31 min,Error,10 min,7 min,20 min,21 min,10 min,13 min,48 min,25 min,15 min,9 min,13 min,10 min,20 min,9 min,5 min,15 min,38 min,18 min,36 min,12 min,13 min,32 min,11 min,9 min,9 min,12 min,41 min,27 min,17 min,33 min,18 min,7 min,14 min,11 min,22 min,35 min,16 min,28 min,7 min,7 min,10 min,7 min,13 min,47 min,15 min,40 min,27 min,36 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,7 min,38 min,22 min,3 min,29 min,28 min,37 min,49 min,27 min,10 min,22 min,11 min,48 min,8 min,40 min,19 min,5 min,30 min,Error,39 min,10 min,43 min,19 min,38 min,24 min,15 min,10 min,Error,29 min,25 min,26 min,34 min,25 min,26 min,27 min,20 min,39 min,32 min,39 min,35 min,8 min,29 min,19 min,14 min,56 min,35 min,15 min,30 min,28 min,50 min,10 min,22 min,12 min,33 min,36 min,45 min,27 min,50 min,16 min,27 min,42 min,21 min,32 min,52 min,14 min,46 min,21 min,27 min,17 min,14 min,31 min,29 min,33 min,19 min,47 min,40 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,31 min,15 min,5 min,22 min,20 min,30 min,42 min,19 min,7 min,15 min,8 min,22 min,5 min,29 min,27 min,13 min,23 min,Error,32 min,7 min,35 min,16 min,30 min,31 min,12 min,18 min,Error,21 min,18 min,23 min,30 min,17 min,19 min,35 min,17 min,31 min,24 min,32 min,27 min,4 min,24 min,11 min,11 min,48 min,27 min,23 min,23 min,21 min,38 min,2 min,14 min,4 min,25 min,41 min,34 min,29 min,43 min,13 min,22 min,35 min,11 min,32 min,44 min,11 min,38 min,13 min,20 min,14 min,7 min,23 min,37 min,26 min,26 min,24 min,36 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,15 min,36 min,14 min,11 min,6 min,18 min,19 min,30 min,33 min,40 min,39 min,33 min,17 min,58 min,45 min,8 min,Error,8 min,39 min,31 min,33 min,15 min,48 min,44 min,50 min,Error,11 min,15 min,16 min,6 min,15 min,23 min,45 min,20 min,Error,3 min,17 min,10 min,23 min,37 min,19 min,20 min,43 min,24 min,4 min,54 min,16 min,9 min,27 min,32 min,18 min,30 min,13 min,37 min,22 min,13 min,19 min,30 min,17 min,7 min,20 min,9 min,20 min,28 min,14 min,23 min,15 min,46 min,28 min,23 min,43 min,15 min,56 min,23 min,32 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,26 min,25 min,34 min,46 min,24 min,7 min,20 min,8 min,28 min,5 min,37 min,23 min,9 min,28 min,Error,36 min,7 min,46 min,22 min,35 min,27 min,12 min,14 min,Error,26 min,22 min,23 min,31 min,22 min,24 min,31 min,17 min,36 min,29 min,36 min,32 min,5 min,26 min,16 min,11 min,53 min,32 min,18 min,28 min,25 min,47 min,7 min,19 min,9 min,30 min,40 min,42 min,24 min,47 min,22 min,24 min,39 min,18 min,29 min,49 min,12 min,43 min,18 min,24 min,15 min,11 min,30 min,33 min,30 min,22 min,40 min,43 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,13 min,18 min,30 min,12 min,19 min,9 min,26 min,31 min,22 min,26 min,48 min,34 min,11 min,Error,20 min,28 min,34 min,25 min,23 min,51 min,34 min,39 min,Error,10 min,11 min,31 min,18 min,6 min,10 min,48 min,23 min,12 min,13 min,10 min,14 min,26 min,15 min,5 min,33 min,37 min,15 min,44 min,16 min,5 min,35 min,11 min,Error,7 min,9 min,9 min,40 min,30 min,21 min,31 min,22 min,17 min,11 min,16 min,20 min,33 min,20 min,26 min,11 min,Error,8 min,10 min,7 min,17 min,46 min,19 min,51 min,26 min,35 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,14 min,26 min,7 min,39 min,12 min,28 min,31 min,34 min,26 min,47 min,33 min,10 min,Error,16 min,27 min,35 min,25 min,24 min,52 min,46 min,38 min,Error,9 min,6 min,25 min,15 min,8 min,9 min,49 min,29 min,9 min,8 min,7 min,11 min,35 min,8 min,8 min,22 min,33 min,12 min,43 min,11 min,Error,2 min,36 min,18 min,6 min,12 min,6 min,41 min,31 min,21 min,28 min,23 min,6 min,9 min,16 min,17 min,29 min,21 min,23 min,9 min,8 min,13 min,10 min,14 min,47 min,14 min,60 min,27 min,36 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,12 min,22 min,26 min,25 min,33 min,34 min,35 min,16 min,56 min,43 min,7 min,Error,2 min,37 min,44 min,28 min,14 min,1 h 1 m,33 min,48 min,Error,9 min,15 min,14 min,5 min,19 min,20 min,56 min,19 min,6 min,17 min,13 min,24 min,34 min,21 min,21 min,37 min,19 min,2 min,52 min,24 min,12 min,38 min,27 min,16 min,25 min,18 min,50 min,29 min,11 min,13 min,26 min,19 min,10 min,19 min,7 min,15 min,24 min,9 min,19 min,21 min,32 min,23 min,27 min,56 min,21 min,56 min,36 min,45 min
