Admiralty MRT Station,Aljunied MRT Station,Ang Mo Kio MRT Station,Bartley MRT Station,Bayfront MRT Station,Beauty World MRT Station,Bedok MRT Station,Bishan MRT Station,Boon Keng MRT Station,Boon Lay MRT Station,Botanic Gardens MRT Station,Braddell MRT Station,Bras Basah MRT Station,Buangkok MRT Station,Bugis MRT Station,Bukit Batok MRT Station,Bukit Gombak MRT Station,Bukit Panjang MRT Station,Buona Vista MRT Station,Caldecott MRT Station,Cashew MRT Station,Changi Airport MRT Station,Chinatown MRT Station,Chinese Garden MRT Station,Choa Chu Kang MRT Station,City Hall MRT Station,Clarke Quay MRT Station,Clementi MRT Station,Commonwealth MRT Station,Dakota MRT Station,Dhoby Ghaut MRT Station,Dover MRT Station,Downtown MRT Station,Esplanade MRT Station,Eunos MRT Station,Expo MRT Station,Farrer Park MRT Station,Farrer Road MRT Station,HarbourFront MRT Station,Haw Par Villa MRT Station,Hillview MRT Station,Holland Village MRT Station,Hougang MRT Station,Joo Koon MRT Station,Jurong East MRT Station,Kallang MRT Station,Kembangan MRT Station,Kent Ridge MRT Station,Khatib MRT Station,King Albert Park MRT Station,Kovan MRT Station,Kranji MRT Station,Labrador Park MRT Station,Lakeside MRT Station,Lavender MRT Station,Little India MRT Station,Lorong Chuan MRT Station,MacPherson MRT Station,Marina Bay MRT Station,Marina South Pier MRT Station,Marsiling MRT Station,Marymount MRT Station,Mountbatten MRT Station,Newton MRT Station,Nicoll Highway MRT Station,Novena MRT Station,one-north MRT Station,Orchard MRT Station,Outram Park MRT Station,Pasir Panjang MRT Station,Pasir Ris MRT Station,Paya Lebar MRT Station,Pioneer MRT Station,Potong Pasir MRT Station,Promenade MRT Station,Punggol MRT Station,Queenstown MRT Station,Raffles Place MRT Station,Redhill MRT Station,Rochor MRT Station,Sembawang MRT Station,Sengkang MRT Station,Serangoon MRT Station,Simei MRT Station,Sixth Avenue MRT Station,Somerset MRT Station,Stadium MRT Station,Stevens MRT Station,Tai Seng MRT Station,Tampines MRT Station,Tan Kah Kee MRT Station,Tanah Merah MRT Station,Tanjong Pagar MRT Station,Telok Ayer MRT Station,Telok Blangah MRT Station,Tiong Bahru MRT Station,Toa Payoh MRT Station,Woodlands MRT Station,Woodleigh MRT Station,Yew Tee MRT Station,Yio Chu Kang MRT Station,Yishun MRT Station
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,7 min,44 min,32 min,13 min,6 min,38 min,10 min,10 min,30 min,1 h,12 min,32 min,21 min,39 min,60 min,31 min,55 min,Sorry,58 min,15 min,Error,31 min,38 min,50 min,47 min,47 min,1 h 9 m,32 min,Sorry,Error,13 min,12 min,44 min,25 min,14 min,19 min,1 h 12 m,36 min,13 min,16 min,8 min,24 min,42 min,15 min,11 min,34 min,56 min,22 min,1 h 13 m,25 min,6 min,Sorry,27 min,9 min,23 min,10 min,1 h 22 m,Sorry,36 min,48 min,39 min,9 min,15 min,24 min,28 min,43 min,33 min,45 min,12 min,10 min,27 min,17 min,30 min,Sorry,30 min,Sorry,49 min,59 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,47 min,34 min,21 min,9 min,42 min,9 min,7 min,28 min,60 min,17 min,33 min,19 min,41 min,45 min,33 min,54 min,Sorry,57 min,14 min,Error,32 min,36 min,1 h 2 m,51 min,48 min,1 h 4 m,31 min,Sorry,Error,12 min,14 min,46 min,29 min,15 min,18 min,44 min,35 min,21 min,18 min,13 min,21 min,39 min,17 min,10 min,36 min,1 h 16 m,26 min,Sorry,26 min,9 min,Sorry,24 min,8 min,20 min,11 min,Sorry,1 h 7 m,37 min,1 h 10 m,46 min,12 min,18 min,24 min,32 min,48 min,41 min,44 min,10 min,8 min,26 min,15 min,30 min,50 min,31 min,59 min,49 min,1 h 8 m
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,16 min,50 min,38 min,7 min,27 min,43 min,43 min,Sorry,47 min,21 min,29 min,18 min,23 min,18 min,1 h 26 m,50 min,17 min,50 min,Error,45 min,13 min,Sorry,19 min,Sorry,45 min,20 min,19 min,Error,47 min,44 min,1 h 2 m,1 h,31 min,38 min,44 min,40 min,50 min,36 min,45 min,34 min,19 min,34 min,35 min,26 min,1 h 2 m,1 h 3 m,35 min,50 min,44 min,Sorry,18 min,29 min,23 min,45 min,1 h 9 m,1 h 29 m,38 min,Sorry,23 min,35 min,52 min,37 min,40 min,53 min,28 min,1 h 2 m,22 min,26 min,22 min,32 min,47 min,50 min,1 h 14 m,48 min,51 min,1 h 1 m
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,41 min,25 min,10 min,34 min,31 min,50 min,1 h 28 m,44 min,9 min,24 min,21 min,37 min,7 min,59 min,1 h 10 m,32 min,36 min,Error,56 min,13 min,1 h,25 min,51 min,1 h 20 m,16 min,44 min,Error,34 min,42 min,47 min,52 min,34 min,42 min,1 h 9 m,32 min,45 min,29 min,41 min,31 min,11 min,21 min,21 min,24 min,1 h 44 m,51 min,58 min,41 min,32 min,Sorry,4 min,33 min,8 min,39 min,Sorry,Sorry,45 min,Sorry,20 min,23 min,48 min,23 min,50 min,1 h 17 m,19 min,Sorry,32 min,33 min,17 min,17 min,29 min,1 h 15 m,45 min,1 h 12 m,Sorry,1 h 9 m
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,16 min,57 min,16 min,12 min,12 min,38 min,17 min,36 min,24 min,42 min,46 min,40 min,38 min,Sorry,1 h 20 m,9 min,Error,16 min,57 min,46 min,50 min,36 min,52 min,34 min,Sorry,Error,11 min,21 min,37 min,13 min,23 min,26 min,51 min,39 min,Error,5 min,27 min,8 min,27 min,1 h 1 m,25 min,33 min,37 min,46 min,10 min,1 h 12 m,25 min,15 min,Sorry,46 min,14 min,43 min,22 min,Sorry,56 min,29 min,40 min,43 min,19 min,11 min,32 min,15 min,49 min,37 min,34 min,21 min,18 min,29 min,37 min,26 min,57 min,23 min,Sorry,43 min,Sorry
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,,Error,
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,25 min,37 min,46 min,Sorry,41 min,14 min,30 min,27 min,26 min,12 min,1 h 20 m,56 min,21 min,43 min,Error,53 min,14 min,Sorry,18 min,Sorry,44 min,21 min,25 min,Error,41 min,38 min,57 min,1 h 1 m,29 min,29 min,43 min,44 min,44 min,30 min,38 min,37 min,12 min,28 min,34 min,27 min,1 h 19 m,57 min,41 min,52 min,37 min,Sorry,12 min,26 min,23 min,39 min,1 h 28 m,Sorry,1 h 3 m,Sorry,23 min,29 min,45 min,25 min,59 min,1 h 13 m,27 min,1 h 10 m,19 min,23 min,23 min,30 min,41 min,49 min,1 h 7 m,45 min,58 min,1 h 40 m
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,12 min,30 min,Sorry,20 min,37 min,13 min,34 min,Sorry,38 min,59 min,Sorry,28 min,22 min,Error,34 min,33 min,Sorry,1 h 2 m,50 min,Sorry,24 min,Sorry,Error,19 min,20 min,53 min,44 min,6 min,12 min,Sorry,48 min,19 min,24 min,Sorry,27 min,38 min,23 min,12 min,29 min,Sorry,26 min,1 h,33 min,15 min,Sorry,28 min,Error,7 min,24 min,16 min,Sorry,Sorry,44 min,Sorry,57 min,17 min,21 min,33 min,32 min,1 h 13 m,45 min,1 h 2 m,7 min,Error,8 min,19 min,25 min,35 min,Sorry,38 min,Sorry,1 h 17 m,Sorry
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,24 min,1 h 1 m,16 min,34 min,19 min,36 min,1 h 18 m,35 min,53 min,Sorry,41 min,15 min,Error,28 min,39 min,1 h,51 min,44 min,1 h 11 m,30 min,Sorry,Error,13 min,12 min,36 min,23 min,15 min,18 min,1 h 15 m,32 min,13 min,20 min,7 min,19 min,48 min,21 min,15 min,32 min,48 min,22 min,1 h 12 m,26 min,Error,6 min,Sorry,28 min,7 min,26 min,9 min,1 h 19 m,Sorry,37 min,48 min,43 min,14 min,14 min,26 min,28 min,42 min,38 min,46 min,Sorry,11 min,24 min,27 min,25 min,Sorry,31 min,Sorry,51 min,1 h 10 m
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,29 min,29 min,40 min,36 min,54 min,41 min,1 h,30 min,Sorry,2 h 1 m,20 min,Error,7 min,Sorry,1 h 7 m,45 min,31 min,47 min,46 min,52 min,Error,22 min,27 min,40 min,15 min,Sorry,Sorry,46 min,36 min,18 min,24 min,30 min,22 min,1 h 19 m,31 min,44 min,50 min,37 min,12 min,Sorry,19 min,30 min,36 min,55 min,40 min,51 min,31 min,Sorry,43 min,27 min,29 min,37 min,40 min,22 min,34 min,16 min,31 min,32 min,18 min,1 h 5 m,40 min,42 min,42 min,19 min,52 min,32 min,52 min,50 min,1 h 13 m
