Admiralty MRT Station,Aljunied MRT Station,Ang Mo Kio MRT Station,Bartley MRT Station,Bayfront MRT Station,Beauty World MRT Station,Bedok MRT Station,Bishan MRT Station,Boon Keng MRT Station,Boon Lay MRT Station,Botanic Gardens MRT Station,Braddell MRT Station,Bras Basah MRT Station,Buangkok MRT Station,Bugis MRT Station,Bukit Batok MRT Station,Bukit Gombak MRT Station,Bukit Panjang MRT Station,Buona Vista MRT Station,Caldecott MRT Station,Cashew MRT Station,Changi Airport MRT Station,Chinatown MRT Station,Chinese Garden MRT Station,Choa Chu Kang MRT Station,City Hall MRT Station,Clarke Quay MRT Station,Clementi MRT Station,Commonwealth MRT Station,Dakota MRT Station,Dhoby Ghaut MRT Station,Dover MRT Station,Downtown MRT Station,Esplanade MRT Station,Eunos MRT Station,Expo MRT Station,Farrer Park MRT Station,Farrer Road MRT Station,HarbourFront MRT Station,Haw Par Villa MRT Station,Hillview MRT Station,Holland Village MRT Station,Hougang MRT Station,Joo Koon MRT Station,Jurong East MRT Station,Kallang MRT Station,Kembangan MRT Station,Kent Ridge MRT Station,Khatib MRT Station,King Albert Park MRT Station,Kovan MRT Station,Kranji MRT Station,Labrador Park MRT Station,Lakeside MRT Station,Lavender MRT Station,Little India MRT Station,Lorong Chuan MRT Station,MacPherson MRT Station,Marina Bay MRT Station,Marina South Pier MRT Station,Marsiling MRT Station,Marymount MRT Station,Mountbatten MRT Station,Newton MRT Station,Nicoll Highway MRT Station,Novena MRT Station,one-north MRT Station,Orchard MRT Station,Outram Park MRT Station,Pasir Panjang MRT Station,Pasir Ris MRT Station,Paya Lebar MRT Station,Pioneer MRT Station,Potong Pasir MRT Station,Promenade MRT Station,Punggol MRT Station,Queenstown MRT Station,Raffles Place MRT Station,Redhill MRT Station,Rochor MRT Station,Sembawang MRT Station,Sengkang MRT Station,Serangoon MRT Station,Simei MRT Station,Sixth Avenue MRT Station,Somerset MRT Station,Stadium MRT Station,Stevens MRT Station,Tai Seng MRT Station,Tampines MRT Station,Tan Kah Kee MRT Station,Tanah Merah MRT Station,Tanjong Pagar MRT Station,Telok Ayer MRT Station,Telok Blangah MRT Station,Tiong Bahru MRT Station,Toa Payoh MRT Station,Woodlands MRT Station,Woodleigh MRT Station,Yew Tee MRT Station,Yio Chu Kang MRT Station,Yishun MRT Station
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,13 min,17 min,24 min,24 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,20 min,16 min,16 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,29 min,Error,6 min
Admiralty MRT Station,Aljunied MRT Station,Ang Mo Kio MRT Station,Bartley MRT Station,Bayfront MRT Station,Beauty World MRT Station,Bedok MRT Station,Bishan MRT Station,Boon Keng MRT Station,Boon Lay MRT Station,Botanic Gardens MRT Station,Braddell MRT Station,Bras Basah MRT Station,Buangkok MRT Station,Bugis MRT Station,Bukit Batok MRT Station,Bukit Gombak MRT Station,Bukit Panjang MRT Station,Buona Vista MRT Station,Caldecott MRT Station,Cashew MRT Station,Changi Airport MRT Station,Chinatown MRT Station,Chinese Garden MRT Station,Choa Chu Kang MRT Station,City Hall MRT Station,Clarke Quay MRT Station,Clementi MRT Station,Commonwealth MRT Station,Dakota MRT Station,Dhoby Ghaut MRT Station,Dover MRT Station,Downtown MRT Station,Esplanade MRT Station,Eunos MRT Station,Expo MRT Station,Farrer Park MRT Station,Farrer Road MRT Station,HarbourFront MRT Station,Haw Par Villa MRT Station,Hillview MRT Station,Holland Village MRT Station,Hougang MRT Station,Joo Koon MRT Station,Jurong East MRT Station,Kallang MRT Station,Kembangan MRT Station,Kent Ridge MRT Station,Khatib MRT Station,King Albert Park MRT Station,Kovan MRT Station,Kranji MRT Station,Labrador Park MRT Station,Lakeside MRT Station,Lavender MRT Station,Little India MRT Station,Lorong Chuan MRT Station,MacPherson MRT Station,Marina Bay MRT Station,Marina South Pier MRT Station,Marsiling MRT Station,Marymount MRT Station,Mountbatten MRT Station,Newton MRT Station,Nicoll Highway MRT Station,Novena MRT Station,one-north MRT Station,Orchard MRT Station,Outram Park MRT Station,Pasir Panjang MRT Station,Pasir Ris MRT Station,Paya Lebar MRT Station,Pioneer MRT Station,Potong Pasir MRT Station,Promenade MRT Station,Punggol MRT Station,Queenstown MRT Station,Raffles Place MRT Station,Redhill MRT Station,Rochor MRT Station,Sembawang MRT Station,Sengkang MRT Station,Serangoon MRT Station,Simei MRT Station,Sixth Avenue MRT Station,Somerset MRT Station,Stadium MRT Station,Stevens MRT Station,Tai Seng MRT Station,Tampines MRT Station,Tan Kah Kee MRT Station,Tanah Merah MRT Station,Tanjong Pagar MRT Station,Telok Ayer MRT Station,Telok Blangah MRT Station,Tiong Bahru MRT Station,Toa Payoh MRT Station,Woodlands MRT Station,Woodleigh MRT Station,Yew Tee MRT Station,Yio Chu Kang MRT Station,Yishun MRT Station
N.A,38 min,19 min,31 min,40 min,37 min,43 min,22 min,34 min,35 min,37 min,24 min,44 min,35 min,40 min,24 min,22 min,27 min,38 min,26 min,32 min,1 h 22 m,41 min,30 min,17 min,40 min,41 min,32 min,40 min,40 min,38 min,36 min,49 min,44 min,38 min,1 h 4 m,42 min,34 min,47 min,44 min,36 min,37 min,32 min,41 min,27 min,46 min,Error,40 min,42 min,10 min,39 min,30 min,8 min,48 min,32 min,Error,38 min,34 min,26 min,35 min,45 min,47 min,5 min,25 min,40 min,32 min,42 min,29 min,40 min,34 min,43 min,47 min,57 min,36 min,37 min,31 min,38 min,42 min,42 min,42 min,44 min,39 min,4 min,37 min,28 min,51 min,36 min,36 min,44 min,34 min,32 min,53 min,37 min,47 min,45 min,47 min,48 min,47 min,27 min,3 min,30 min,16 min,17 min,7 min
N.A,N.A,19 min,10 min,11 min,26 min,10 min,16 min,15 min,45 min,17 min,18 min,15 min,19 min,7 min,41 min,43 min,33 min,27 min,21 min,31 min,23 min,15 min,40 min,48 min,9 min,20 min,33 min,25 min,5 min,11 min,30 min,18 min,13 min,4 min,16 min,17 min,22 min,20 min,33 min,30 min,30 min,16 min,52 min,38 min,2 min,Error,6 min,32 min,29 min,24 min,14 min,50 min,24 min,43 min,Error,5 min,10 min,14 min,5 min,14 min,16 min,51 min,19 min,6 min,12 min,12 min,13 min,30 min,16 min,17 min,32 min,23 min,2 min,48 min,15 min,9 min,25 min,23 min,11 min,21 min,13 min,35 min,21 min,11 min,18 min,21 min,14 min,9 min,15 min,7 min,19 min,19 min,13 min,14 min,16 min,21 min,19 min,16 min,49 min,13 min,51 min,21 min,31 min
N.A,N.A,N.A,12 min,21 min,27 min,39 min,3 min,25 min,54 min,14 min,6 min,26 min,26 min,21 min,33 min,41 min,46 min,20 min,8 min,32 min,47 min,22 min,49 min,36 min,21 min,22 min,45 min,26 min,21 min,20 min,42 min,31 min,25 min,32 min,46 min,21 min,15 min,29 min,26 min,31 min,18 min,23 min,1 h,47 min,27 min,Error,30 min,24 min,10 min,25 min,35 min,28 min,30 min,52 min,Error,24 min,15 min,8 min,16 min,27 min,28 min,25 min,6 min,21 min,13 min,28 min,10 min,22 min,16 min,25 min,29 min,47 min,17 min,56 min,24 min,19 min,32 min,35 min,23 min,28 min,20 min,17 min,29 min,9 min,33 min,22 min,18 min,25 min,16 min,14 min,49 min,19 min,43 min,26 min,29 min,30 min,31 min,9 min,22 min,18 min,35 min,3 min,12 min
N.A,N.A,N.A,N.A,20 min,28 min,15 min,9 min,10 min,43 min,19 min,11 min,22 min,12 min,20 min,39 min,41 min,36 min,26 min,14 min,34 min,28 min,25 min,38 min,48 min,19 min,26 min,31 min,27 min,12 min,23 min,28 min,23 min,20 min,10 min,22 min,13 min,21 min,32 min,31 min,32 min,24 min,9 min,50 min,36 min,12 min,Error,12 min,30 min,22 min,26 min,7 min,40 min,30 min,41 min,Error,15 min,16 min,7 min,7 min,24 min,31 min,36 min,12 min,12 min,19 min,19 min,16 min,28 min,21 min,27 min,35 min,29 min,8 min,46 min,8 min,18 min,18 min,30 min,27 min,32 min,22 min,28 min,14 min,4 min,23 min,23 min,23 min,16 min,22 min,4 min,25 min,22 min,19 min,24 min,23 min,38 min,29 min,14 min,34 min,6 min,47 min,14 min,24 min
N.A,N.A,N.A,N.A,N.A,24 min,20 min,18 min,11 min,36 min,15 min,16 min,6 min,26 min,5 min,31 min,44 min,32 min,18 min,20 min,29 min,32 min,5 min,31 min,46 min,7 min,11 min,23 min,15 min,11 min,8 min,20 min,3 min,11 min,14 min,26 min,10 min,20 min,11 min,19 min,28 min,19 min,23 min,42 min,28 min,9 min,Error,16 min,22 min,31 min,22 min,21 min,49 min,14 min,33 min,Error,7 min,8 min,29 min,15 min,Error,4 min,5 min,45 min,20 min,9 min,10 min,7 min,12 min,22 min,12 min,7 min,18 min,34 min,12 min,38 min,13 min,2 min,33 min,13 min,9 min,11 min,6 min,37 min,28 min,18 min,27 min,19 min,11 min,9 min,13 min,17 min,29 min,17 min,23 min,10 min,4 min,12 min,9 min,14 min,43 min,16 min,49 min,23 min,33 min
N.A,N.A,N.A,N.A,N.A,N.A,36 min,19 min,21 min,32 min,10 min,20 min,26 min,36 min,24 min,29 min,32 min,9 min,16 min,15 min,7 min,49 min,23 min,27 min,24 min,22 min,23 min,30 min,29 min,31 min,20 min,33 min,27 min,30 min,31 min,43 min,20 min,12 min,32 min,22 min,5 min,14 min,33 min,39 min,33 min,24 min,Error,32 min,21 min,37 min,4 min,31 min,31 min,26 min,30 min,Error,22 min,18 min,24 min,32 min,32 min,29 min,34 min,17 min,29 min,16 min,27 min,17 min,18 min,18 min,25 min,25 min,49 min,28 min,35 min,23 min,22 min,43 min,29 min,31 min,33 min,23 min,43 min,38 min,25 min,44 min,5 min,20 min,28 min,12 min,30 min,45 min,8 min,39 min,27 min,27 min,28 min,31 min,20 min,36 min,26 min,26 min,29 min,38 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,21 min,25 min,55 min,27 min,30 min,25 min,51 min,16 min,51 min,53 min,43 min,32 min,26 min,41 min,13 min,25 min,50 min,58 min,19 min,30 min,42 min,35 min,11 min,21 min,40 min,28 min,22 min,5 min,7 min,27 min,31 min,30 min,43 min,39 min,40 min,48 min,1 h 1 m,48 min,12 min,Error,3 min,41 min,49 min,34 min,19 min,1 h 6 m,38 min,53 min,Error,15 min,20 min,20 min,10 min,24 min,25 min,1 h 9 m,24 min,11 min,22 min,18 min,23 min,39 min,26 min,27 min,42 min,13 min,8 min,58 min,20 min,17 min,58 min,33 min,21 min,30 min,23 min,55 min,Error,,53 min,8 min,31 min,24 min,15 min,24 min,12 min,9 min,29 min,3 min,24 min,26 min,31 min,28 min,32 min,1 h 11 m,19 min,1 h 1 m,41 min,51 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,12 min,34 min,10 min,2 min,22 min,13 min,18 min,30 min,44 min,26 min,16 min,4 min,24 min,34 min,19 min,29 min,37 min,18 min,19 min,21 min,18 min,18 min,16 min,19 min,27 min,21 min,16 min,28 min,15 min,12 min,25 min,22 min,23 min,15 min,10 min,41 min,27 min,18 min,Error,18 min,21 min,13 min,17 min,8 min,31 min,26 min,32 min,Error,21 min,12 min,4 min,13 min,23 min,25 min,27 min,3 min,18 min,10 min,25 min,7 min,19 min,12 min,21 min,25 min,35 min,14 min,37 min,9 min,24 min,20 min,20 min,20 min,23 min,17 min,19 min,15 min,6 min,29 min,14 min,14 min,22 min,12 min,10 min,31 min,12 min,25 min,23 min,25 min,29 min,25 min,5 min,25 min,8 min,38 min,5 min,15 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,41 min,12 min,14 min,13 min,15 min,11 min,36 min,39 min,29 min,23 min,16 min,27 min,33 min,10 min,36 min,43 min,9 min,10 min,28 min,21 min,19 min,7 min,25 min,18 min,9 min,17 min,29 min,3 min,17 min,16 min,24 min,25 min,29 min,12 min,47 min,34 min,19 min,Error,19 min,27 min,25 min,19 min,10 min,42 min,20 min,39 min,Error,22 min,6 min,10 min,14 min,14 min,16 min,39 min,14 min,19 min,7 min,16 min,15 min,28 min,10 min,13 min,23 min,36 min,15 min,43 min,2 min,9 min,21 min,18 min,11 min,16 min,11 min,31 min,17 min,7 min,30 min,16 min,10 min,17 min,10 min,11 min,32 min,15 min,26 min,14 min,17 min,17 min,14 min,17 min,37 min,5 min,47 min,17 min,26 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,25 min,36 min,43 min,56 min,39 min,10 min,13 min,28 min,18 min,30 min,36 min,1 h 8 m,31 min,6 min,18 min,37 min,37 min,13 min,20 min,51 min,35 min,16 min,42 min,41 min,50 min,1 h 2 m,40 min,23 min,35 min,24 min,38 min,21 min,53 min,6 min,7 min,43 min,Error,52 min,23 min,45 min,32 min,51 min,26 min,28 min,4 min,Error,42 min,38 min,39 min,50 min,38 min,39 min,29 min,33 min,51 min,40 min,52 min,48 min,20 min,41 min,32 min,27 min,1 h 8 m,48 min,2 min,43 min,41 min,1 h 2 m,22 min,35 min,25 min,46 min,39 min,58 min,40 min,1 h 3 m,29 min,38 min,54 min,27 min,53 min,1 h 4 m,30 min,58 min,33 min,38 min,30 min,27 min,39 min,32 min,42 min,21 min,52 min,42 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,13 min,17 min,24 min,15 min,20 min,23 min,17 min,7 min,6 min,15 min,45 min,14 min,20 min,28 min,13 min,14 min,12 min,9 min,28 min,11 min,9 min,18 min,21 min,21 min,39 min,11 min,Error,3 min,23 min,13 min,14 min,6 min,21 min,31 min,18 min,15 min,Error,29 min,12 min,23 min,8 min,19 min,39 min,17 min,23 min,Error,13 min,9 min,15 min,23 min,18 min,19 min,38 min,9 min,28 min,7 min,22 min,8 min,10 min,9 min,21 min,16 min,45 min,25 min,27 min,14 min,13 min,30 min,11 min,22 min,13 min,14 min,30 min,26 min,16 min,40 min,5 min,11 min,29 min,3 min,21 min,41 min,Error,3 min,35 min,18 min,18 min,19 min,16 min,11 min,35 min,17 min,34 min,16 min,25 min
