Admiralty MRT Station,Aljunied MRT Station,Ang Mo Kio MRT Station,Bartley MRT Station,Bayfront MRT Station,Beauty World MRT Station,Bedok MRT Station,Bishan MRT Station,Boon Keng MRT Station,Boon Lay MRT Station,Botanic Gardens MRT Station,Braddell MRT Station,Bras Basah MRT Station,Buangkok MRT Station,Bugis MRT Station,Bukit Batok MRT Station,Bukit Gombak MRT Station,Bukit Panjang MRT Station,Buona Vista MRT Station,Caldecott MRT Station,Cashew MRT Station,Changi Airport MRT Station,Chinatown MRT Station,Chinese Garden MRT Station,Choa Chu Kang MRT Station,City Hall MRT Station,Clarke Quay MRT Station,Clementi MRT Station,Commonwealth MRT Station,Dakota MRT Station,Dhoby Ghaut MRT Station,Dover MRT Station,Downtown MRT Station,Esplanade MRT Station,Eunos MRT Station,Expo MRT Station,Farrer Park MRT Station,Farrer Road MRT Station,HarbourFront MRT Station,Haw Par Villa MRT Station,Hillview MRT Station,Holland Village MRT Station,Hougang MRT Station,Joo Koon MRT Station,Jurong East MRT Station,Kallang MRT Station,Kembangan MRT Station,Kent Ridge MRT Station,Khatib MRT Station,King Albert Park MRT Station,Kovan MRT Station,Kranji MRT Station,Labrador Park MRT Station,Lakeside MRT Station,Lavender MRT Station,Little India MRT Station,Lorong Chuan MRT Station,MacPherson MRT Station,Marina Bay MRT Station,Marina South Pier MRT Station,Marsiling MRT Station,Marymount MRT Station,Mountbatten MRT Station,Newton MRT Station,Nicoll Highway MRT Station,Novena MRT Station,one-north MRT Station,Orchard MRT Station,Outram Park MRT Station,Pasir Panjang MRT Station,Pasir Ris MRT Station,Paya Lebar MRT Station,Pioneer MRT Station,Potong Pasir MRT Station,Promenade MRT Station,Punggol MRT Station,Queenstown MRT Station,Raffles Place MRT Station,Redhill MRT Station,Rochor MRT Station,Sembawang MRT Station,Sengkang MRT Station,Serangoon MRT Station,Simei MRT Station,Sixth Avenue MRT Station,Somerset MRT Station,Stadium MRT Station,Stevens MRT Station,Tai Seng MRT Station,Tampines MRT Station,Tan Kah Kee MRT Station,Tanah Merah MRT Station,Tanjong Pagar MRT Station,Telok Ayer MRT Station,Telok Blangah MRT Station,Tiong Bahru MRT Station,Toa Payoh MRT Station,Woodlands MRT Station,Woodleigh MRT Station,Yew Tee MRT Station,Yio Chu Kang MRT Station,Yishun MRT Station
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,24 min,29 min,59 min,59 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,35 min,44 min,36 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,1 h 4 m,Error,5 min
Admiralty MRT Station,Aljunied MRT Station,Ang Mo Kio MRT Station,Bartley MRT Station,Bayfront MRT Station,Beauty World MRT Station,Bedok MRT Station,Bishan MRT Station,Boon Keng MRT Station,Boon Lay MRT Station,Botanic Gardens MRT Station,Braddell MRT Station,Bras Basah MRT Station,Buangkok MRT Station,Bugis MRT Station,Bukit Batok MRT Station,Bukit Gombak MRT Station,Bukit Panjang MRT Station,Buona Vista MRT Station,Caldecott MRT Station,Cashew MRT Station,Changi Airport MRT Station,Chinatown MRT Station,Chinese Garden MRT Station,Choa Chu Kang MRT Station,City Hall MRT Station,Clarke Quay MRT Station,Clementi MRT Station,Commonwealth MRT Station,Dakota MRT Station,Dhoby Ghaut MRT Station,Dover MRT Station,Downtown MRT Station,Esplanade MRT Station,Eunos MRT Station,Expo MRT Station,Farrer Park MRT Station,Farrer Road MRT Station,HarbourFront MRT Station,Haw Par Villa MRT Station,Hillview MRT Station,Holland Village MRT Station,Hougang MRT Station,Joo Koon MRT Station,Jurong East MRT Station,Kallang MRT Station,Kembangan MRT Station,Kent Ridge MRT Station,Khatib MRT Station,King Albert Park MRT Station,Kovan MRT Station,Kranji MRT Station,Labrador Park MRT Station,Lakeside MRT Station,Lavender MRT Station,Little India MRT Station,Lorong Chuan MRT Station,MacPherson MRT Station,Marina Bay MRT Station,Marina South Pier MRT Station,Marsiling MRT Station,Marymount MRT Station,Mountbatten MRT Station,Newton MRT Station,Nicoll Highway MRT Station,Novena MRT Station,one-north MRT Station,Orchard MRT Station,Outram Park MRT Station,Pasir Panjang MRT Station,Pasir Ris MRT Station,Paya Lebar MRT Station,Pioneer MRT Station,Potong Pasir MRT Station,Promenade MRT Station,Punggol MRT Station,Queenstown MRT Station,Raffles Place MRT Station,Redhill MRT Station,Rochor MRT Station,Sembawang MRT Station,Sengkang MRT Station,Serangoon MRT Station,Simei MRT Station,Sixth Avenue MRT Station,Somerset MRT Station,Stadium MRT Station,Stevens MRT Station,Tai Seng MRT Station,Tampines MRT Station,Tan Kah Kee MRT Station,Tanah Merah MRT Station,Tanjong Pagar MRT Station,Telok Ayer MRT Station,Telok Blangah MRT Station,Tiong Bahru MRT Station,Toa Payoh MRT Station,Woodlands MRT Station,Woodleigh MRT Station,Yew Tee MRT Station,Yio Chu Kang MRT Station,Yishun MRT Station
N.A,1 h,46 min,1 h 4 m,Sorry,Sorry,Sorry,48 min,57 min,Sorry,1 h 4 m,56 min,Sorry,40 min,1 h 8 m,Sorry,Sorry,Sorry,Sorry,54 min,Sorry,1 h 18 m,Sorry,Sorry,Sorry,Sorry,Sorry,Sorry,Sorry,Sorry,Sorry,Sorry,Sorry,Sorry,1 h 1 m,Sorry,1 h 5 m,Sorry,Sorry,Sorry,Sorry,Sorry,55 min,Sorry,Sorry,59 min,Error,Sorry,Sorry,19 min,1 h 18 m,Sorry,24 min,Sorry,Sorry,Error,1 h 6 m,1 h 9 m,53 min,1 h,Sorry,Sorry,22 min,51 min,Sorry,1 h 6 m,1 h 16 m,1 h 4 m,Sorry,Sorry,Sorry,Sorry,51 min,1 h 8 m,Sorry,53 min,Sorry,42 min,Sorry,Sorry,Sorry,1 h 4 m,16 min,32 min,56 min,Sorry,1 h 10 m,Sorry,Sorry,Sorry,1 h 1 m,50 min,1 h 4 m,Sorry,Sorry,Sorry,Sorry,Sorry,60 min,7 min,1 h 1 m,Sorry,35 min,16 min
N.A,N.A,32 min,24 min,28 min,55 min,20 min,27 min,11 min,1 h 51 m,27 min,31 min,23 min,45 min,16 min,1 h 28 m,1 h 34 m,1 h 21 m,55 min,27 min,46 min,41 min,25 min,55 min,1 h 31 m,21 min,25 min,1 h 1 m,52 min,10 min,27 min,54 min,28 min,22 min,11 min,42 min,21 min,31 min,38 min,56 min,41 min,48 min,33 min,Sorry,1 h 15 m,8 min,Error,14 min,54 min,1 h 1 m,45 min,26 min,46 min,48 min,Sorry,Error,11 min,27 min,28 min,11 min,34 min,37 min,45 min,36 min,10 min,28 min,17 min,30 min,59 min,32 min,29 min,51 min,58 min,9 min,1 h 24 m,17 min,19 min,1 h 2 m,43 min,26 min,41 min,23 min,Sorry,49 min,21 min,41 min,37 min,26 min,16 min,27 min,14 min,34 min,32 min,26 min,29 min,27 min,43 min,34 min,20 min,51 min,14 min,Sorry,59 min,1 h 10 m
N.A,N.A,N.A,26 min,59 min,36 min,49 min,11 min,38 min,1 h 12 m,30 min,21 min,49 min,37 min,47 min,52 min,60 min,56 min,48 min,22 min,53 min,1 h 15 m,58 min,1 h 2 m,1 h 3 m,51 min,55 min,49 min,44 min,43 min,52 min,56 min,Sorry,53 min,40 min,1 h 6 m,42 min,32 min,1 h 1 m,Sorry,48 min,40 min,24 min,Sorry,1 h 4 m,41 min,Error,44 min,1 h 29 m,26 min,42 min,20 min,53 min,1 h 20 m,1 h 4 m,Error,42 min,38 min,13 min,33 min,1 h 1 m,Sorry,52 min,16 min,46 min,34 min,1 h,31 min,1 h 9 m,39 min,55 min,Sorry,46 min,36 min,Sorry,27 min,54 min,40 min,43 min,Sorry,58 min,46 min,Sorry,38 min,17 min,1 h 14 m,36 min,1 h,48 min,34 min,27 min,57 min,30 min,54 min,Sorry,57 min,1 h 7 m,Sorry,23 min,54 min,20 min,1 h 4 m,12 min,35 min
N.A,N.A,N.A,N.A,39 min,Sorry,29 min,25 min,28 min,Sorry,37 min,20 min,37 min,33 min,34 min,Sorry,Sorry,Sorry,48 min,28 min,Sorry,60 min,43 min,Sorry,Sorry,32 min,41 min,Sorry,48 min,23 min,40 min,53 min,34 min,30 min,20 min,50 min,36 min,36 min,50 min,1 h 4 m,Sorry,43 min,21 min,Sorry,Sorry,30 min,Error,24 min,59 min,43 min,Sorry,14 min,Sorry,59 min,Sorry,Error,30 min,40 min,18 min,12 min,41 min,48 min,Sorry,26 min,26 min,Sorry,26 min,Sorry,60 min,Sorry,50 min,1 h 3 m,50 min,16 min,Sorry,17 min,33 min,45 min,46 min,32 min,1 h 1 m,35 min,Sorry,34 min,8 min,Sorry,Sorry,Sorry,28 min,Sorry,7 min,51 min,Sorry,35 min,38 min,36 min,56 min,1 h 5 m,21 min,Sorry,12 min,Sorry,30 min,Sorry
N.A,N.A,N.A,N.A,N.A,57 min,Sorry,40 min,21 min,53 min,43 min,37 min,9 min,Sorry,10 min,42 min,44 min,Sorry,40 min,34 min,Sorry,Sorry,15 min,34 min,Sorry,8 min,12 min,48 min,34 min,24 min,11 min,43 min,4 min,9 min,31 min,36 min,16 min,34 min,17 min,35 min,Sorry,36 min,Sorry,1 h 12 m,32 min,17 min,Error,35 min,37 min,Sorry,53 min,44 min,Sorry,28 min,44 min,Error,15 min,15 min,47 min,32 min,Error,4 min,14 min,Sorry,36 min,26 min,21 min,20 min,22 min,41 min,20 min,12 min,30 min,39 min,29 min,1 h 3 m,28 min,4 min,Sorry,33 min,11 min,27 min,15 min,Sorry,Sorry,41 min,39 min,48 min,14 min,30 min,25 min,35 min,33 min,42 min,Sorry,11 min,11 min,22 min,24 min,28 min,Sorry,33 min,Sorry,Sorry,Sorry
N.A,N.A,N.A,N.A,N.A,N.A,37 min,36 min,26 min,40 min,19 min,37 min,47 min,55 min,45 min,18 min,24 min,22 min,34 min,23 min,17 min,1 h 6 m,52 min,28 min,32 min,47 min,52 min,18 min,30 min,33 min,44 min,17 min,1 h 4 m,49 min,30 min,55 min,38 min,20 min,49 min,36 min,13 min,26 min,56 min,56 min,26 min,28 min,Error,30 min,33 min,47 min,6 min,49 min,47 min,40 min,31 min,Error,29 min,37 min,31 min,29 min,1 h 11 m,Sorry,51 min,22 min,34 min,32 min,36 min,19 min,28 min,38 min,53 min,44 min,53 min,37 min,43 min,21 min,52 min,Sorry,31 min,55 min,42 min,40 min,1 h 3 m,56 min,32 min,50 min,11 min,45 min,37 min,24 min,31 min,52 min,15 min,36 min,1 h 8 m,55 min,42 min,50 min,19 min,57 min,26 min,33 min,34 min,53 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,43 min,42 min,2 h 2 m,46 min,33 min,43 min,49 min,37 min,47 min,54 min,56 min,1 h 15 m,33 min,53 min,27 min,48 min,57 min,1 h 48 m,43 min,46 min,1 h 25 m,1 h 13 m,23 min,46 min,1 h 27 m,51 min,45 min,15 min,17 min,33 min,38 min,45 min,1 h 3 m,47 min,1 h 10 m,36 min,Sorry,1 h 50 m,31 min,Error,11 min,1 h 18 m,45 min,43 min,35 min,53 min,55 min,59 min,Error,31 min,33 min,44 min,24 min,58 min,Sorry,52 min,40 min,27 min,23 min,29 min,24 min,1 h 26 m,28 min,52 min,59 min,30 min,21 min,Sorry,22 min,47 min,41 min,1 h 8 m,29 min,1 h,41 min,Sorry,Error,,42 min,18 min,43 min,49 min,37 min,31 min,28 min,18 min,38 min,6 min,27 min,28 min,51 min,1 h 2 m,31 min,51 min,38 min,Sorry,56 min,48 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,29 min,57 min,21 min,8 min,30 min,35 min,30 min,36 min,43 min,36 min,39 min,10 min,42 min,1 h 13 m,18 min,46 min,44 min,31 min,18 min,55 min,33 min,46 min,33 min,54 min,22 min,40 min,32 min,Sorry,26 min,21 min,50 min,57 min,36 min,28 min,30 min,1 h 14 m,48 min,31 min,Error,34 min,44 min,Sorry,32 min,29 min,42 min,44 min,49 min,Error,35 min,26 min,9 min,37 min,25 min,Sorry,41 min,12 min,42 min,22 min,38 min,25 min,51 min,27 min,27 min,56 min,48 min,48 min,1 h 7 m,18 min,42 min,50 min,38 min,19 min,55 min,26 min,Sorry,36 min,15 min,Sorry,33 min,38 min,38 min,23 min,28 min,1 h,27 min,53 min,23 min,19 min,45 min,53 min,12 min,47 min,15 min,54 min,17 min,Sorry
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,1 h 3 m,20 min,26 min,15 min,42 min,14 min,33 min,41 min,42 min,47 min,20 min,38 min,36 min,23 min,52 min,1 h 3 m,19 min,21 min,34 min,36 min,13 min,17 min,43 min,25 min,19 min,21 min,34 min,12 min,24 min,36 min,1 h 1 m,34 min,40 min,43 min,1 h 19 m,49 min,8 min,Error,24 min,48 min,34 min,30 min,35 min,40 min,47 min,60 min,Error,11 min,14 min,26 min,19 min,31 min,34 min,38 min,34 min,14 min,19 min,21 min,17 min,50 min,26 min,30 min,59 min,37 min,18 min,1 h 6 m,6 min,20 min,56 min,35 min,23 min,34 min,11 min,Sorry,43 min,17 min,29 min,30 min,22 min,22 min,18 min,17 min,29 min,24 min,35 min,29 min,27 min,42 min,31 min,13 min,45 min,12 min,54 min,32 min,43 min
N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,1 h 1 m,1 h 19 m,55 min,Sorry,1 h 2 m,30 min,37 min,39 min,43 min,58 min,45 min,Sorry,1 h 32 m,15 min,49 min,58 min,1 h 31 m,30 min,53 min,1 h 40 m,53 min,36 min,1 h 9 m,58 min,1 h 3 m,1 h 33 m,1 h 21 m,1 h,1 h 3 m,54 min,40 min,58 min,1 h 17 m,19 min,30 min,1 h 7 m,Error,1 h 10 m,47 min,1 h 10 m,46 min,1 h 10 m,50 min,1 h 9 m,7 min,Error,Sorry,59 min,1 h 6 m,1 h 34 m,1 h 9 m,Sorry,49 min,1 h 1 m,1 h 42 m,54 min,1 h 9 m,59 min,49 min,49 min,1 h 35 m,1 h 2 m,1 h 26 m,1 h 40 m,6 min,1 h,58 min,Sorry,56 min,1 h 35 m,1 h 4 m,1 h 1 m,1 h 34 m,Sorry,1 h 3 m,Sorry,51 min,49 min,Sorry,1 h 3 m,1 h 11 m,1 h 21 m,55 min,1 h 27 m,1 h 34 m,1 h 35 m,57 min,1 h 10 m,51 min,56 min,1 h 4 m,47 min,1 h 26 m,1 h 6 m
