"","mrt","string","lon","lat"
"1","Admiralty, MRT","Admiralty, MRT",103.8009211,1.4405828
"2","Aljunied, MRT","Aljunied, MRT",103.882906,1.3164325
"3","Ang Mo Kio, MRT","Ang Mo Kio, MRT",103.8495876,1.3699718
"4","Bartley, MRT","Bartley, MRT",103.8802484,1.3423252
"5","Bayfront, MRT","Bayfront, MRT",103.8589484,1.2813448
"6","Beauty World, MRT","Beauty World, MRT",103.7759646,1.3417054
"7","Bedok, MRT","Bedok, MRT",103.9301725,1.3240113
"8","Bishan, MRT","Bishan, MRT",103.8481618,1.3507054
"9","Boon Keng, MRT","Boon Keng, MRT",103.8618306,1.3198587
"10","Boon Lay, MRT","Boon Lay, MRT",103.7058277,1.3385559
"11","Botanic Gardens, MRT","Botanic Gardens, MRT",103.8147355,1.3222128
"12","Braddell, MRT","Braddell, MRT",103.8471482,1.3408682
"13","Bras Basah, MRT","Bras Basah, MRT",103.8500884,1.2976198
"14","Buangkok, MRT","Buangkok, MRT",103.8931105,1.3830715
"15","Bugis, MRT","Bugis, MRT",103.8562489,1.3009033
"16","Bukit Batok, MRT","Bukit Batok, MRT",103.7490636,1.3485641
"17","Bukit Gombak, MRT","Bukit Gombak, MRT",103.7520342,1.3592566
"18","Bukit Panjang, MRT","Bukit Panjang, MRT",103.7631071,1.3779513
"19","Buona Vista, MRT","Buona Vista, MRT",103.7900481,1.3073006
"20","Caldecott, MRT","Caldecott, MRT",103.8395412,1.3376585
"21","Cashew, MRT","Cashew, MRT",103.7645493,1.3699218
"22","Changi Airport, MRT","Changi Airport, MRT",103.988836,1.357371
"23","Chinatown, MRT","Chinatown, MRT",103.8437092,1.2837749
"24","Chinese Garden, MRT","Chinese Garden, MRT",103.7325809,1.3423757
"25","Choa Chu Kang, MRT","Choa Chu Kang, MRT",103.7444056,1.3851009
"26","City Hall, MRT","City Hall, MRT",103.8524604,1.2931857
"27","Clarke Quay, MRT","Clarke Quay, MRT",103.84711,1.2886199
"28","Clementi, MRT","Clementi, MRT",103.7647922,1.315194
"29","Commonwealth, MRT","Commonwealth, MRT",103.7982907,1.3024476
"30","Dakota, MRT","Dakota, MRT",103.8886799,1.3083673
"31","Dhoby Ghaut, MRT","Dhoby Ghaut, MRT",103.8459771,1.2985166
"32","Dover, MRT","Dover, MRT",103.7786532,1.311322
"33","Downtown, MRT","Downtown, MRT",103.8524576,1.279467
"34","Esplanade, MRT","Esplanade, MRT",103.855381,1.293436
"35","Eunos, MRT","Eunos, MRT",103.9028587,1.3197777
"36","Expo, MRT","Expo, MRT",103.9619976,1.3352467
"37","Farrer Park, MRT","Farrer Park, MRT",103.8548207,1.3124557
"38","Farrer Road, MRT","Farrer Road, MRT",103.8058468,1.3160332
"39","HarbourFront, MRT","HarbourFront, MRT",103.8204894,1.2659756
"40","Haw Par Villa, MRT","Haw Par Villa, MRT",103.7819544,1.2831258
"41","Hillview, MRT","Hillview, MRT",103.7670071,1.3621275
"42","Holland Village, MRT","Holland Village, MRT",103.7962333,1.3119456
"43","Hougang, MRT","Hougang, MRT",103.8924668,1.3711282
"44","Joo Koon, MRT","Joo Koon, MRT",103.6783297,1.3277507
"45","Jurong East, MRT","Jurong East, MRT",103.7422884,1.3331336
"46","Kallang, MRT","Kallang, MRT",103.8716322,1.3115239
"47","Kembangan, MRT","Kembangan, MRT",103.9129091,1.3210276
"48","Kent Ridge, MRT","Kent Ridge, MRT",103.7848916,1.2924922
"49","Khatib, MRT","Khatib, MRT",103.8330221,1.4173489
